step,A3_RSRP,DDQN,DDQN_CHO
0,0.8542982339859009,0.8542982339859009,0.8542982339859009
1,0.8367724418640137,0.90739506483078,0.9018832445144653
2,0.9302865266799927,0.9227291345596313,0.9227291345596313
3,0.925489068031311,0.9224855899810791,0.9224855899810791
4,0.9329491257667542,0.933752715587616,0.933752715587616
5,0.926219642162323,0.9342398047447205,0.9342398047447205
6,0.9277944564819336,0.9262359142303467,0.9262359142303467
7,0.9301566481590271,0.9204237461090088,0.9204237461090088
8,0.9076792001724243,0.9392808079719543,0.9392808079719543
9,0.911786675453186,0.9215114712715149,0.9215114712715149
10,0.9108125567436218,0.9252049922943115,0.9252049922943115
11,0.9137917160987854,0.9179884791374207,0.9179884791374207
12,0.9257894158363342,0.9229564070701599,0.9229564070701599
13,0.9108856320381165,0.9439483880996704,0.9439483880996704
14,0.9102280735969543,0.8955840468406677,0.8955840468406677
15,0.8922558426856995,0.9166572093963623,0.9042860865592957
16,0.921495258808136,0.9126065373420715,0.915699303150177
17,0.8908839821815491,0.9136943221092224,0.909570574760437
18,0.9239711165428162,0.9025976061820984,0.9025976061820984
19,0.8942771553993225,0.9085964560508728,0.9075655341148376
20,0.880144476890564,0.8792434334754944,0.9064615368843079
21,0.9048705101013184,0.8563357591629028,0.8793002963066101
22,0.9390616416931152,0.9044159650802612,0.9272099733352661
23,0.9145222902297974,0.9128338098526001,0.9210812449455261
24,0.9348242282867432,0.9396379590034485,0.9375761151313782
25,0.9216657280921936,0.9236301779747009,0.9174445867538452
26,0.923670768737793,0.9236869812011719,0.9278107285499573
27,0.9443299174308777,0.9175014495849609,0.9205942153930664
28,0.8814433217048645,0.8579511046409607,0.8713532090187073
29,0.9350515604019165,0.9098709225654602,0.9036853909492493
30,0.9360824823379517,0.8981004953384399,0.9042860865592957
31,0.9371134042739868,0.9099277257919312,0.9099277257919312
32,0.923711359500885,0.8693643808364868,0.8776118159294128
33,0.9474226832389832,0.9259355664253235,0.9259355664253235
34,0.9268041253089905,0.9061611890792847,0.9061611890792847
35,0.9164948463439941,0.8956814408302307,0.8956814408302307
36,0.8886597752571106,0.9019238352775574,0.9019238352775574
37,0.9319587349891663,0.9185566902160645,0.9185566902160645
38,0.9268041253089905,0.9432989954948425,0.9432989954948425
39,0.8896906971931458,0.9164948463439941,0.9164948463439941
40,0.8721649646759033,0.9123711585998535,0.9123711585998535
41,0.9164948463439941,0.923711359500885,0.9092783331871033
42,0.9134020805358887,0.9144330024719238,0.9144330024719238
43,0.8979381322860718,0.8711340427398682,0.8711340427398682
44,0.8938144445419312,0.8948453664779663,0.8948453664779663
45,0.8870849609375,0.8999999761581421,0.8999999761581421
46,0.8955191373825073,0.8958762884140015,0.8958762884140015
47,0.9494845271110535,0.9350515604019165,0.9350515604019165
48,0.9308710098266602,0.9010308980941772,0.9010308980941772
49,0.9086776375770569,0.8865979313850403,0.8865979313850403
50,0.9401493668556213,0.9402061700820923,0.9402061700820923
51,0.9275346994400024,0.9371134042739868,0.9371134042739868
52,0.8948453664779663,0.9030928015708923,0.9010308980941772
53,0.907216489315033,0.9216494560241699,0.9226804375648499
54,0.9051546454429626,0.8886597752571106,0.9103092551231384
55,0.9331763982772827,0.9340206384658813,0.9185566902160645
56,0.9319587349891663,0.923711359500885,0.9371134042739868
57,0.9391752481460571,0.9525772929191589,0.9536082744598389
58,0.9087345004081726,0.907216489315033,0.9077035188674927
59,0.9206185340881348,0.9123711585998535,0.9185566902160645
60,0.918012797832489,0.9020618796348572,0.8932705521583557
61,0.9192872643470764,0.9082474112510681,0.9089779853820801
62,0.9311145544052124,0.915463924407959,0.91255784034729
63,0.8927266597747803,0.8649484515190125,0.884479284286499
64,0.9141326546669006,0.9103092551231384,0.9079470634460449
65,0.9627729654312134,0.8907216787338257,0.8844224214553833
66,0.9207484126091003,0.9061855673789978,0.8990989327430725
67,0.896022379398346,0.8865979313850403,0.867156445980072
68,0.9311145544052124,0.9175257682800293,0.9135887622833252
69,0.8650945425033569,0.8876288533210754,0.8888059258460999
70,0.9074194431304932,0.8989690542221069,0.8989690542221069
71,0.8999999761581421,0.8917526006698608,0.8917526006698608
72,0.9030928015708923,0.9216494560241699,0.9216494560241699
73,0.9268041253089905,0.9123711585998535,0.9123711585998535
74,0.9051546454429626,0.9216494560241699,0.9216494560241699
75,0.9020618796348572,0.9268041253089905,0.9268041253089905
76,0.9040100574493408,0.9144330024719238,0.9144330024719238
77,0.9169981479644775,0.9371134042739868,0.9195876121520996
78,0.9095380902290344,0.9309278130531311,0.9144330024719238
79,0.8999999761581421,0.8989690542221069,0.8896906971931458
80,0.8948453664779663,0.8958762884140015,0.8958762884140015
81,0.9030928015708923,0.8876288533210754,0.8999999761581421
82,0.88453608751297,0.8556700944900513,0.8711340427398682
83,0.8814433217048645,0.9010308980941772,0.8814433217048645
84,0.8835051655769348,0.8546391725540161,0.8412371277809143
85,0.8402062058448792,0.8463917374610901,0.8278350234031677
86,0.8742268085479736,0.8639175295829773,0.8855670094490051
87,0.9030928015708923,0.8670102953910828,0.8608247637748718
88,0.9030928015708923,0.8494845628738403,0.8505154848098755
89,0.9164948463439941,0.8515464067459106,0.8340206146240234
90,0.8804123997688293,0.8597938418388367,0.8608247637748718
91,0.8804123997688293,0.8721649646759033,0.8958762884140015
92,0.8989690542221069,0.8556700944900513,0.8628866076469421
93,0.9411802887916565,0.8690721392631531,0.8979381322860718
94,0.9052845239639282,0.8855670094490051,0.8865979313850403
95,0.9101387858390808,0.8432989716529846,0.853608250617981
96,0.9235976934432983,0.870103120803833,0.8752577304840088
97,0.9274778962135315,0.870103120803833,0.8783504962921143
98,0.8862407803535461,0.8917526006698608,0.8597938418388367
99,0.8749735951423645,0.88453608751297,0.8876288533210754
100,0.8908839821815491,0.8876288533210754,0.9103092551231384
101,0.8817192912101746,0.9030928015708923,0.8556700944900513
102,0.9216657280921936,0.9134020805358887,0.9041237235069275
103,0.9346943497657776,0.9123711585998535,0.9329897165298462
104,0.8946748971939087,0.9144330024719238,0.8855670094490051
105,0.9164542555809021,0.9226804375648499,0.9195876121520996
106,0.9211786389350891,0.9020618796348572,0.8948453664779663
107,0.9465784430503845,0.8804123997688293,0.8474226593971252
108,0.9434288740158081,0.9216494560241699,0.9113401770591736
109,0.8902508616447449,0.8999999761581421,0.8896906971931458
110,0.8972806334495544,0.8938144445419312,0.8989690542221069
111,0.9213491082191467,0.8855670094490051,0.8597938418388367
112,0.9176556468009949,0.9195876121520996,0.9030928015708923
113,0.8847958445549011,0.9144330024719238,0.9134020805358887
114,0.9497442841529846,0.9123711585998535,0.8876288533210754
115,0.9209919571876526,0.946391761302948,0.9268041253089905
116,0.9126309156417847,0.9340206384658813,0.9329897165298462
117,0.8926698565483093,0.9175257682800293,0.9041237235069275
